time,contract,open,high,low,close,volume,delta
2010-08-12,201008,7778,7824,7764,7800,85099,0
2010-08-13,201008,7816,7925,7803,7911,95004,0
2010-08-16,201008,7843,7957,7830,7946,81371,0
2010-08-17,201008,7935,7965,7925,7941,59356,0
2010-08-18,201008,7969,7971,7900,7919,54730,-31
2010-08-19,201009,7899,7922,7847,7918,88913,0
2010-08-20,201009,7883,7900,7860,7886,65098,0
2010-08-23,201009,7880,8003,7874,7952,88947,0
2010-08-24,201009,7920,7956,7884,7887,90103,0
2010-08-25,201009,7843,7844,7673,7679,136522,0
2010-08-26,201009,7672,7696,7621,7621,90557,0
2010-08-27,201009,7611,7676,7605,7659,89168,0
2010-08-30,201009,7742,7793,7688,7718,106064,0
2010-08-31,201009,7653,7658,7536,7557,119533,0
2010-09-01,201009,7569,7638,7569,7630,77248,0
2010-09-02,201009,7695,7744,7665,7692,102835,0
2010-09-03,201009,7714,7786,7713,7777,94553,0
2010-09-06,201009,7838,7878,7819,7865,77820,0
2010-09-07,201009,7860,7874,7843,7853,60421,0
2010-09-08,201009,7823,7868,7790,7848,115984,0
2010-09-09,201009,7885,7890,7806,7834,100456,0
2010-09-10,201009,7889,7908,7849,7900,88371,0
2010-09-13,201009,7943,8110,7934,8109,120906,0
2010-09-14,201009,8117,8135,8088,8122,60400,0
2010-09-15,201009,8142,8158,8113,8154,46823,-6
2010-09-16,201010,8145,8163,8062,8070,94078,0
2010-09-17,201010,8100,8209,8097,8171,111718,0
2010-09-20,201010,8155,8195,8135,8178,72389,0
2010-09-21,201010,8237,8247,8156,8192,89150,0
2010-09-23,201010,8178,8233,8148,8202,84525,0
2010-09-24,201010,8185,8197,8121,8147,126534,0
2010-09-27,201010,8200,8230,8176,8185,77297,0
2010-09-28,201010,8162,8199,8150,8180,68963,0
2010-09-29,201010,8220,8295,8203,8210,117706,0
2010-09-30,201010,8218,8232,8186,8219,81016,0
2010-10-01,201010,8246,8256,8201,8238,75234,0
2010-10-04,201010,8238,8285,8214,8217,90838,0
2010-10-05,201010,8207,8214,8127,8192,115261,0
2010-10-06,201010,8268,8293,8254,8273,79280,0
2010-10-07,201010,8271,8282,8255,8272,50516,0
2010-10-08,201010,8266,8300,8213,8214,102694,0
2010-10-11,201010,8241,8246,8130,8135,98604,0
2010-10-12,201010,8150,8153,8021,8056,122188,0
2010-10-13,201010,8090,8110,8041,8108,96802,0
2010-10-14,201010,8177,8251,8165,8229,119581,0
2010-10-15,201010,8212,8246,8190,8190,80809,0
2010-10-18,201010,8189,8193,8024,8033,137298,0
2010-10-19,201010,8035,8053,7995,8020,81608,0
2010-10-20,201010,7950,8121,7947,8120,80733,-14
2010-10-21,201011,8080,8144,8063,8088,111003,0
2010-10-22,201011,8122,8142,8097,8142,67947,0
2010-10-25,201011,8173,8306,8158,8303,109268,0
2010-10-26,201011,8299,8340,8296,8313,70510,0
2010-10-27,201011,8329,8368,8264,8281,117079,0
2010-10-28,201011,8310,8355,8282,8341,91526,0
2010-10-29,201011,8320,8327,8257,8302,99950,0
2010-11-01,201011,8325,8429,8325,8393,107013,0
2010-11-02,201011,8405,8405,8361,8367,58593,0
2010-11-03,201011,8411,8423,8283,8324,136307,0
2010-11-04,201011,8342,8388,8325,8368,77003,0
2010-11-05,201011,8478,8500,8443,8463,79108,0
2010-11-08,201011,8482,8488,8431,8453,74607,0
2010-11-09,201011,8440,8471,8433,8467,58104,0
2010-11-10,201011,8488,8492,8435,8485,76579,0
2010-11-11,201011,8465,8480,8446,8451,57451,0
2010-11-12,201011,8435,8438,8301,8314,129669,0
2010-11-15,201011,8296,8310,8229,8270,98909,0
2010-11-16,201011,8230,8342,8220,8290,96158,0
2010-11-17,201011,8246,8299,8227,8246,60739,12
2010-11-18,201012,8255,8294,8239,8292,78617,0
2010-11-19,201012,8337,8361,8257,8286,117612,0
2010-11-22,201012,8323,8396,8312,8373,90438,0
2010-11-23,201012,8374,8375,8306,8330,74225,0
2010-11-24,201012,8281,8353,8271,8305,94331,0
2010-11-25,201012,8309,8362,8308,8341,70218,0
2010-11-26,201012,8354,8358,8294,8300,82593,0
2010-11-29,201012,8350,8395,8312,8382,123837,0
2010-11-30,201012,8400,8450,8371,8401,119661,0
2010-12-01,201012,8423,8550,8411,8550,108687,0
2010-12-02,201012,8600,8642,8591,8619,88965,0
2010-12-03,201012,8639,8645,8609,8630,70404,0
2010-12-06,201012,8640,8714,8632,8697,80689,0
2010-12-07,201012,8698,8716,8652,8716,69149,0
2010-12-08,201012,8718,8721,8675,8701,60974,0
2010-12-09,201012,8722,8797,8722,8789,95596,0
2010-12-10,201012,8761,8761,8698,8742,91550,0
2010-12-13,201012,8728,8764,8725,8737,53926,0
2010-12-14,201012,8752,8792,8712,8738,92090,0
2010-12-15,201012,8740,8747,8704,8727,45529,24
2010-12-16,201101,8764,8794,8754,8773,68004,0
2010-12-17,201101,8777,8840,8775,8809,83250,0
2010-12-20,201101,8817,8832,8728,8762,101537,0
2010-12-21,201101,8783,8847,8763,8846,76444,0
2010-12-22,201101,8858,8872,8834,8850,66539,0
2010-12-23,201101,8856,8908,8846,8898,72262,0
2010-12-24,201101,8898,8898,8867,8880,49889,0
